Date,cumulative_spend,days_until,election
2023-08-02,316,112,2023
2023-08-03,629,111,2023
2023-08-04,936,110,2023
2023-08-05,1375,109,2023
2023-08-06,1828,108,2023
2023-08-07,2260,107,2023
2023-08-08,2741,106,2023
2023-08-09,3286,105,2023
2023-08-10,3899,104,2023
2023-08-11,4526,103,2023
2023-08-12,5164,102,2023
2023-08-13,5735,101,2023
2023-08-14,6286,100,2023
2023-08-15,6794,99,2023
2023-08-16,7245,98,2023
2023-08-17,7820,97,2023
2023-08-18,8703,96,2023
2023-08-19,9671,95,2023
2023-08-20,10651,94,2023
2023-08-21,11542,93,2023
2023-08-22,12434,92,2023
2023-08-23,13272,91,2023
2023-08-24,14104,90,2023
2023-08-25,14990,89,2023
2023-08-26,16137,88,2023
2023-08-27,17117,87,2023
2023-08-28,18913,86,2023
2023-08-29,20536,85,2023
2023-08-30,22201,84,2023
2023-08-31,23691,83,2023
2023-09-01,25111,82,2023
2023-09-02,26551,81,2023
2023-09-03,27675,80,2023
2023-09-04,28644,79,2023
2023-09-05,30103,78,2023
2023-09-06,31324,77,2023
2023-09-07,32547,76,2023
2023-09-08,33659,75,2023
2023-09-09,34419,74,2023
2023-09-10,35299,73,2023
2023-09-11,36253,72,2023
2023-09-12,37251,71,2023
2023-09-13,38187,70,2023
2023-09-14,39153,69,2023
2023-09-15,40213,68,2023
2023-09-16,41340,67,2023
2023-09-17,42529,66,2023
2023-09-18,43627,65,2023
2023-09-19,44826,64,2023
2023-09-20,45949,63,2023
2023-09-21,47218,62,2023
2023-09-22,48874,61,2023
2023-09-23,50432,60,2023
2023-09-24,51927,59,2023
2023-09-25,53295,58,2023
2023-09-26,54623,57,2023
2023-09-27,55899,56,2023
2023-09-28,57532,55,2023
2023-09-29,59041,54,2023
2023-09-30,60542,53,2023
2023-10-01,61953,52,2023
2023-10-02,63466,51,2023
2023-10-03,64716,50,2023
2023-10-04,65963,49,2023
2023-10-05,67261,48,2023
2023-10-06,69250,47,2023
2023-10-07,71922,46,2023
2023-10-08,74825,45,2023
2023-10-09,77885,44,2023
2023-10-10,80992,43,2023
2023-10-11,84439,42,2023
2023-10-12,88571,41,2023
2023-10-13,93078,40,2023
2023-10-14,97849,39,2023
2023-10-15,102992,38,2023
2023-10-16,109054,37,2023
2023-10-17,115549,36,2023
2023-10-18,122026,35,2023
2023-10-19,128785,34,2023
2023-10-20,135976,33,2023
2023-10-21,143502,32,2023
2023-10-22,151379,31,2023
2023-10-23,160730,30,2023
2023-10-24,173854,29,2023
2023-10-25,188744,28,2023
2023-10-26,203969,27,2023
2023-10-27,218647,26,2023
2023-10-28,235684,25,2023
2023-10-29,253385,24,2023
2023-10-30,270764,23,2023
2023-10-31,289334,22,2023
2023-11-01,309776,21,2023
2023-11-02,375876,20,2023
2023-11-03,419655,19,2023
2023-11-04,454929,18,2023
2023-11-05,491190,17,2023
2023-11-06,525208,16,2023
2023-11-07,557053,15,2023
2023-11-08,587607,14,2023
2023-11-09,619460,13,2023
2023-11-10,652038,12,2023
2023-11-11,684863,11,2023
2023-11-12,716640,10,2023
2023-11-13,752743,9,2023
2023-11-14,789436,8,2023
2023-11-15,832922,7,2023
2023-11-16,882434,6,2023
2023-11-17,934570,5,2023
2023-11-18,1000850,4,2023
2023-11-19,1106904,3,2023
2020-11-23,2897,112,2021
2020-11-24,5786,111,2021
2020-11-25,9175,110,2021
2020-11-26,13018,109,2021
2020-11-27,17089,108,2021
2020-11-28,20950,107,2021
2020-11-29,24955,106,2021
2020-11-30,28299,105,2021
2020-12-01,32336,104,2021
2020-12-02,36914,103,2021
2020-12-03,41692,102,2021
2020-12-04,46351,101,2021
2020-12-05,51137,100,2021
2020-12-06,55156,99,2021
2020-12-07,59211,98,2021
2020-12-08,63836,97,2021
2020-12-09,68673,96,2021
2020-12-10,75449,95,2021
2020-12-11,82153,94,2021
2020-12-12,87690,93,2021
2020-12-13,93464,92,2021
2020-12-14,99186,91,2021
2020-12-15,104514,90,2021
2020-12-16,109663,89,2021
2020-12-17,116152,88,2021
2020-12-19,126122,86,2021
2020-12-20,135066,85,2021
2020-12-22,146255,83,2021
2020-12-23,160491,82,2021
2020-12-24,177273,81,2021
2020-12-26,189410,79,2021
2020-12-28,198251,77,2021
2020-12-30,209686,75,2021
2020-12-31,220690,74,2021
2021-01-02,223782,72,2021
2021-01-04,227805,70,2021
2021-01-05,231837,69,2021
2021-01-07,235688,67,2021
2021-01-08,239633,66,2021
2021-01-10,242360,64,2021
2021-01-11,245694,63,2021
2021-01-12,250776,62,2021
2021-01-14,259700,60,2021
2021-01-15,265160,59,2021
2021-01-16,270002,58,2021
2021-01-18,274332,56,2021
2021-01-19,280111,55,2021
2021-01-20,287358,54,2021
2021-01-21,294619,53,2021
2021-01-22,301253,52,2021
2021-01-23,307571,51,2021
2021-01-25,317111,49,2021
2021-01-29,328661,45,2021
2021-01-31,337706,43,2021
2021-02-01,344872,42,2021
2021-02-02,357809,41,2021
2021-02-04,372075,39,2021
2021-02-06,387994,37,2021
2021-02-07,397766,36,2021
2021-02-08,407718,35,2021
2021-02-09,419459,34,2021
2021-02-10,431452,33,2021
2021-02-12,444809,31,2021
2021-02-13,458731,30,2021
2021-02-14,475212,29,2021
2021-02-15,491850,28,2021
2021-02-16,510183,27,2021
2021-02-17,531948,26,2021
2021-02-18,556350,25,2021
2021-02-19,579623,24,2021
2021-02-20,604093,23,2021
2021-02-21,625954,22,2021
2021-02-22,667567,21,2021
2021-02-23,716328,20,2021
2021-02-24,764731,19,2021
2021-02-26,799270,17,2021
2021-02-27,832273,16,2021
2021-02-28,870427,15,2021
2021-03-01,912619,14,2021
2021-03-02,976244,13,2021
2021-03-03,1030857,12,2021
2021-03-04,1096266,11,2021
2021-03-05,1169144,10,2021
2021-03-06,1242355,9,2021
2021-03-07,1305719,8,2021
2021-03-08,1361016,7,2021
2021-03-09,1422252,6,2021
2021-03-10,1485960,5,2021
2021-03-11,1589962,4,2021
2021-03-12,1712069,3,2021
2021-03-13,1846370,2,2021
2021-03-14,2006231,1,2021
2021-03-15,2215617,0,2021
